product_id,brand,image,price,source,currency,description,product_url,product_title,price_available,additional_image,additional_description,image_url
9631419a-9ab4-4f28-ae12-20113cb94b66,La Croix,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/9631419a-9ab4-4f28-ae12-20113cb94b66.jpg,11.39,costco.com,USD,"Features:
12 - Lime
6 - Lemon
6 - Grapefruit
12 fl oz Cans
24 Total Cans",https://www.costco.com/lacroix-sparkling-water-variety-pack-12-fl-oz-24-count.product.100381464.html,"LaCroix Sparkling Water, Variety Pack, 12 fl oz, 24-count",11.39,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/9631419a-9ab4-4f28-ae12-20113cb94b66.jpg,Additional info for product 12,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/9631419a-9ab4-4f28-ae12-20113cb94b66.webp
1b7d2ffa-108d-4e11-943d-312974365929,Waterloo,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/1b7d2ffa-108d-4e11-943d-312974365929.webp,11.39,costco.com,USD,"Features:
8 - Lemon-Lime
8 - Raspberry Nectarine
8 - Blackberry Lemonade
12 fl oz Cans
24 Total Cans",https://www.costco.com/waterloo-sparkling-water-variety-pack-12-fl-oz-24-count.product.4000330314.html,"Waterloo Sparkling Water, Variety Pack, 12 fl oz, 24-count",11.39,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/1b7d2ffa-108d-4e11-943d-312974365929.webp,Additional info for product 13,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/1b7d2ffa-108d-4e11-943d-312974365929.webp
5dc15357-62d8-4812-8ed7-0fa55ea701b0,Poppi,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/5dc15357-62d8-4812-8ed7-0fa55ea701b0.webp,23.49,costco.com,USD,"Features:
5 - Lemon Lime
5 - Orange Cream
5 - Watermelon
12 fl oz Cans
15 Total Cans",https://www.costco.com/poppi-soda-endless-summer-variety-pack-12-fl-oz-15-count.product.4000368228.html,"Poppi Soda Endless Summer, Variety Pack, 12 fl oz, 15-count",23.49,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/5dc15357-62d8-4812-8ed7-0fa55ea701b0.webp,Additional info for product 14,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/5dc15357-62d8-4812-8ed7-0fa55ea701b0.webp
f564042e-9c79-47f8-afd8-1a490f93ad40,Olipop,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/f564042e-9c79-47f8-afd8-1a490f93ad40.jpg,54.99,costco.com,USD,"Features:
24 count (12 oz each)
Prebiotics, plant fiber, and botanicals to support digestive health
Variety pack: 6-Root Beer, 6-Vintage Cola, 6-Classic Grape, 6-Orange Squeeze
No artificial sweeteners, flavors, or preservatives
Non-GMO Project Verified, Gluten-free, Vegan, Keto & Paleo",https://www.costco.com/olipop-12-oz-prebiotics-soda-variety-pack-24-count.product.4000181761.html,"Olipop 12 oz Prebiotics Soda Variety Pack, 24 Count",54.99,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/f564042e-9c79-47f8-afd8-1a490f93ad40.jpg,Additional info for product 15,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/f564042e-9c79-47f8-afd8-1a490f93ad40.webp
4434074c-ade6-467b-a521-9731c8d349cf,Capri Sun,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/4434074c-ade6-467b-a521-9731c8d349cf.webp,11.49,costco.com,USD,"Features:
Made From Concentrate
No Artificial Colors
No Preservatives
No Added Sugar
40-count",https://www.costco.com/capri-sun-100-juice-variety-pack-6-fl-oz-40-count.product.100371255.html,"Capri Sun, 100% Juice, Variety Pack, 6 fl oz, 40-count",11.49,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/4434074c-ade6-467b-a521-9731c8d349cf.webp,Additional info for product 16,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/4434074c-ade6-467b-a521-9731c8d349cf.webp
ee30f035-12c3-4597-88d4-5010653236e0,Kirkland Signature,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/ee30f035-12c3-4597-88d4-5010653236e0.webp,23.49,costco.com,USD,"Features:
No Sugar Added
Not From Concentrate
100% Juice
USDA Organic
Kosher",https://www.costco.com/kirkland-signature-organic-coconut-water-338-fl-oz-9-count.product.100841513.html,"Kirkland Signature, Organic Coconut Water, 33.8 fl oz, 9-count",23.49,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/ee30f035-12c3-4597-88d4-5010653236e0.webp,Additional info for product 17,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/ee30f035-12c3-4597-88d4-5010653236e0.webp
4ab3559e-9851-4078-8e12-26ab8fb6e5ce,Gatorade,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/4ab3559e-9851-4078-8e12-26ab8fb6e5ce.webp,18.99,costco.com,USD,"Features:
Variety Pack
80 Calories per Bottle
12 - Lemon-Lime
8 - Fruit Punch
8 - Orange",https://www.costco.com/gatorade-thirst-quencher-core-variety-pack-12-fl-oz-28-count.product.100709443.html,"Gatorade Thirst Quencher, Core Variety Pack, 12 fl oz, 28-count",18.99,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/4ab3559e-9851-4078-8e12-26ab8fb6e5ce.webp,Additional info for product 18,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/4ab3559e-9851-4078-8e12-26ab8fb6e5ce.webp
1865dcc7-5e66-4013-a366-77cd716846e4,Poppi,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/1865dcc7-5e66-4013-a366-77cd716846e4.jpg,23.49,costco.com,USD,"Features:
5 - Doc Pop
5 - Wild Berry
5 - Lemon Lime
12 fl oz Cans
15 Total Cans",https://www.costco.com/poppi-soda-variety-pack-12-fl-oz-15-count.product.4000295363.html,"Poppi Soda, Variety Pack, 12 fl oz, 15-count",23.49,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/1865dcc7-5e66-4013-a366-77cd716846e4.jpg,Additional info for product 19,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/1865dcc7-5e66-4013-a366-77cd716846e4.webp
071c551e-8405-4c2a-83c2-6df643385091,San Pellegrino,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/071c551e-8405-4c2a-83c2-6df643385091.webp,23.99,costco.com,USD,"Features:
12 - Aranciata Rossa (Orange & Blood Orange)
12 - Limonata (Lemon)
11.15 fl oz Cans
24 Total Cans",https://www.costco.com/san-pellegrino-italian-sparkling-drink-variety-pack-1115-fl-oz-24-count.product.4000151067.html,"San Pellegrino Italian Sparkling Drink, Variety Pack, 11.15 fl oz, 24-count",23.99,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/071c551e-8405-4c2a-83c2-6df643385091.webp,Additional info for product 20,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/071c551e-8405-4c2a-83c2-6df643385091.webp
2de74dcf-8216-4d71-b359-b848d7d026d4,Celsius,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/2de74dcf-8216-4d71-b359-b848d7d026d4.webp,19.99,costco.com,USD,"Features:
10 - Dragonfruit Lime
10 - Berry
10 - Strawberry Mango
30 Total Powder Sticks
Zero Sugar",https://www.costco.com/celsius-essential-energy-powder-sticks-variety-pack-30-count.product.4000315378.html,"Celsius Essential Energy Powder Sticks, Variety Pack, 30-count",19.99,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/2de74dcf-8216-4d71-b359-b848d7d026d4.webp,Additional info for product 21,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/2de74dcf-8216-4d71-b359-b848d7d026d4.webp
d27b94b4-85f7-4ae5-9e29-f9e633ab0ab0,Bloom,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/d27b94b4-85f7-4ae5-9e29-f9e633ab0ab0.jpg,28.99,costco.com,USD,"Features:
6 - Peach Mango
6 - Raspberry Lemon
6 - Strawberry Watermelon
Zero Sugar
Natural Energy",https://www.costco.com/bloom-sparkling-energy-drink-variety-pack-12-fl-oz-18-count.product.4000336724.html,"Bloom Sparkling Energy Drink, Variety Pack, 12 fl oz, 18-count",28.99,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/d27b94b4-85f7-4ae5-9e29-f9e633ab0ab0.jpg,Additional info for product 22,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/d27b94b4-85f7-4ae5-9e29-f9e633ab0ab0.webp
3e702a00-8735-4403-b5a2-aa768e09fc86,Perrier,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/3e702a00-8735-4403-b5a2-aa768e09fc86.webp,25.99,costco.com,USD,"Features:
Unflavored
16.9 fl oz Bottles
24 Total Bottles
0 Calories",https://www.costco.com/maison-perrier-sparkling-water-169-fl-oz-24-count.product.4000234662.html,"Maison Perrier Sparkling Water, 16.9 fl oz, 24-count",25.99,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/3e702a00-8735-4403-b5a2-aa768e09fc86.webp,Additional info for product 23,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/3e702a00-8735-4403-b5a2-aa768e09fc86.webp
f81f6855-cf46-4fb8-9abb-242f18cddbc0,Pepsi,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/f81f6855-cf46-4fb8-9abb-242f18cddbc0.webp,18.99,costco.com,USD,"Features:
Original
7.5 fl oz Cans
30 Total Cans
100 Calories per Can",https://www.costco.com/pepsi-mini-75-fl-oz-30-count.product.4000023856.html,"Pepsi Mini, 7.5 fl oz, 30-count",18.99,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/f81f6855-cf46-4fb8-9abb-242f18cddbc0.webp,Additional info for product 24,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/f81f6855-cf46-4fb8-9abb-242f18cddbc0.webp
3f303eb9-d70d-4bb3-b87c-df3c54188e9c,San Pellegrino,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/3f303eb9-d70d-4bb3-b87c-df3c54188e9c.webp,19.99,costco.com,USD,"Features:
Zero Calories
Unflavored Original",https://www.costco.com/san-pellegrino-sparkling-natural-mineral-water-unflavored-1115-fl-oz-24-count.product.100639975.html,"San Pellegrino Sparkling Natural Mineral Water, Unflavored, 11.15 fl oz, 24-count",19.99,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/3f303eb9-d70d-4bb3-b87c-df3c54188e9c.webp,Additional info for product 25,https://rpmzykoxqnbozgdoqbpc.supabase.co/storage/v1/object/public/costco-beverages-and-water/3f303eb9-d70d-4bb3-b87c-df3c54188e9c.webp
